family,mu,sigma,gamma,base,probability,quantile,gradient_mu,gradient_sigma,gradient_gamma,cov11,cov12,cov13,cov22,cov23,cov33,variance_mle
LnNormal,10,2,0,2.71828182845905,0.5,9.8058067569092,1.01829531706373,-0.18857320685924,0,0.0399898453234073,0.0119974563493366,0,0.023996722607005,0,0,0.0377122241859214
LnNormal,1,1,0,2.71828182845905,0.5,0.707106781186548,1.06066017177988,-0.353553390593138,0,0.00933373687519046,0.0141382670143725,0,0.0285518574319185,0,0,0.00346573590280161
LogNormal,0.3,0.2,0,2,0.5,1.23114441334492,0.853364278971536,-1.85037170770859e-13,0,4e-04,0,0,2e-04,0,0,0.000291292237049844
LogNormal,0.3,0.2,0,2.71828182845905,0.5,1.349858807576,1.34985880757702,3.70074341541719e-13,0,4e-04,0,0,2e-04,0,0,0.000728847520157306
LogNormal,0.3,0.2,0,10,0.5,1.99526231496888,4.59426126305951,0,0,4e-04,0,0,2e-04,0,0,0.00844289462129966
LnNormal,10,2,0,2.71828182845905,0.83,11.8454013760313,1.01059545018408,0.869723437078769,0,0.0399898453234073,0.0119974563493366,0,0.023996722607005,0,0,0.0800833827772956
LnNormal,1,1,0,2.71828182845905,0.83,1.5648986961984,1.45060689326996,0.11429180292899,0,0.00933373687519046,0.0141382670143725,0,0.0285518574319185,0,0,0.024701611084357
LogNormal,0.3,0.2,0,2,0.83,1.40525607388199,0.974049285574578,0.929403983147003,0,4e-04,0,0,2e-04,0,0,0.000552267157069241
LogNormal,0.3,0.2,0,2.71828182845905,0.83,1.63367658855882,1.63367658855921,1.55879743568084,0,4e-04,0,0,2e-04,0,0,0.00155352956749962
LogNormal,0.3,0.2,0,10,0.83,3.09622883319781,7.12933035581694,6.8025593037239,0,4e-04,0,0,2e-04,0,0,0.0295859031450853
LnNormal,10,2,0,2.71828182845905,0.99,15.544234347703,0.911924744293172,3.21249345239138,0,0.0399898453234073,0.0119974563493366,0,0.023996722607005,0,0,0.351199093130153
LnNormal,1,1,0,2.71828182845905,0.99,4.90491645086585,0.504645855332608,4.40027059554297,0,0.00933373687519046,0.0141382670143725,0,0.0285518574319185,0,0,0.617999208072161
LogNormal,0.3,0.2,0,2,0.99,1.69968756375774,1.17813364265177,2.74074869491714,0,4e-04,0,0,2e-04,0,0,0.00205754023371717
LogNormal,0.3,0.2,0,2.71828182845905,0.99,2.14957376749287,2.14957376749296,5.00065636409808,0,4e-04,0,0,2e-04,0,0,0.00684957976711646
LogNormal,0.3,0.2,0,10,0.99,5.82464652423173,13.4117442586409,31.2003827432987,0,4e-04,0,0,2e-04,0,0,0.26664273028934
