kappa,hondo,endpoint,step,x,logcdf,logpdf
2.0,2.0,upper,2,0.4999999999999999,-1.4901161415892264e-08,18.021826709459738
2.0,2.0,upper,3,0.49999999999999983,-1.82501210830112e-08,17.819094158754616
2.0,2.0,upper,4,0.4999999999999998,-2.1073424699536237e-08,17.67525312535203
2.0,10.0,lower,1,0.49500000000000005,-3.2908159173188003,31.919928348863255
2.0,10.0,lower,2,0.4950000000000001,-3.217245237820926,31.25779223338239
2.0,10.0,lower,3,0.49500000000000016,-3.1753193947968756,30.880459646165942
2.0,10.0,lower,4,0.4950000000000002,-3.1458685910446573,30.615402412395984
2.0,10.0,upper,1,0.49999999999999994,-1.0536712682835059e-08,18.368400379668966
2.0,10.0,upper,2,0.4999999999999999,-1.490116230407079e-08,18.021826828669038
2.0,10.0,upper,3,0.49999999999999983,-1.8250122415279026e-08,17.8190943047556
2.0,10.0,upper,4,0.4999999999999998,-2.1073426475893378e-08,17.675253293939445
10.0,0.2,lower,1,-976562.3999999993,-194.17120530814861,-169.8219054584258
10.0,0.2,lower,2,-976562.3999999992,-191.02924367727545,-167.30833615372725
10.0,0.2,lower,3,-976562.3999999991,-189.11467580719648,-165.77668185766407
10.0,0.2,lower,4,-976562.399999999,-187.733612414409,-164.6718311434341
10.0,0.2,upper,1,0.09999999999999999,-0.024724098253273142,33.30225509931338
10.0,0.2,upper,2,0.09999999999999998,-0.027278984255823924,32.417464862800784
10.0,0.2,upper,3,0.09999999999999996,-0.028639971636108583,31.979419038693024
10.0,0.2,upper,4,0.09999999999999995,-0.02959011977956636,31.68577875978709
10.0,0.5,lower,1,-102.29999999999998,-77.26784110912597,-44.87224517960249
10.0,0.5,lower,2,-102.29999999999997,-76.05556950198533,-44.266109376032176
10.0,0.5,lower,3,-102.29999999999995,-75.30618260310251,-43.89141592659077
10.0,0.5,lower,4,-102.29999999999994,-74.76231517213523,-43.61948221110712
10.0,0.5,upper,1,0.09999999999999999,-0.024816399368165203,33.30962617823191
10.0,0.5,upper,2,0.09999999999999998,-0.02739142424435244,32.42559233808326
10.0,0.5,upper,3,0.09999999999999996,-0.028763956484614835,31.987949037759602
10.0,0.5,upper,4,0.09999999999999995,-0.02972250148505874,31.694589604868217
10.0,1.0,lower,1,5e-324,-744.4400719213812,4.4e-323
10.0,1.0,lower,2,1e-323,-743.7469247408213,9e-323
10.0,1.0,lower,3,1.5e-323,-743.3414596327132,1.33e-322
10.0,1.0,lower,4,2e-323,-743.0537775602613,1.8e-322
10.0,1.0,upper,1,0.09999999999999999,-0.02497229924978276,33.322034377916
10.0,1.0,upper,2,0.09999999999999998,-0.027581604442091408,32.43928805020544
10.0,1.0,upper,3,0.09999999999999996,-0.028973819701101855,32.00233101600191
10.0,1.0,upper,4,0.09999999999999995,-0.029946694231720975,31.709450855610744
10.0,2.0,lower,1,0.09990234375000001,-16.053956928535822,22.29228155357543
10.0,2.0,lower,2,0.09990234375000002,-15.648491820427624,21.886816445467364
